                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.2766,                  0.809,                 1.0481,                0.50591,                0.31507,                0.36226,                0.20807,                 1.2172,                0.76769,                 1.0357,                0.00208,                0.00208,                0.00208
                     83,                 1.2726,                0.80563,                 1.0437,                0.50457,                0.31734,                0.36104,                0.20869,                 1.2162,                0.76733,                 1.0347,               0.001981,               0.001981,               0.001981
                     84,                 1.2651,                0.80597,                 1.0455,                0.49722,                0.32461,                0.36176,                0.20875,                 1.2158,                0.76641,                 1.0345,               0.001882,               0.001882,               0.001882
                     85,                 1.2716,                0.80565,                 1.0465,                0.50674,                0.31814,                0.36151,                0.20772,                 1.2164,                0.76533,                 1.0345,               0.001783,               0.001783,               0.001783
                     86,                 1.2656,                 0.7986,                 1.0429,                0.50102,                0.32562,                0.36436,                0.20927,                 1.2152,                0.76307,                 1.0345,               0.001684,               0.001684,               0.001684
                     87,                 1.2617,                 0.7983,                 1.0399,                0.49669,                0.32941,                0.36504,                0.20998,                  1.215,                0.76311,                 1.0341,               0.001585,               0.001585,               0.001585
                     88,                 1.2638,                0.79842,                 1.0428,                0.50748,                 0.3228,                0.36527,                0.21034,                 1.2144,                0.76288,                 1.0338,               0.001486,               0.001486,               0.001486
                     89,                 1.2585,                0.79533,                 1.0413,                0.51213,                0.31924,                0.36447,                0.21074,                 1.2134,                0.76221,                 1.0333,               0.001387,               0.001387,               0.001387
                     90,                 1.2617,                 0.7969,                  1.041,                0.57606,                0.32115,                0.36585,                0.21112,                 1.2125,                0.76121,                 1.0333,               0.001288,               0.001288,               0.001288
                     91,                 1.2328,                0.75568,                 1.0313,                0.57439,                0.31976,                0.36477,                0.21032,                 1.2149,                0.76142,                 1.0344,               0.001189,               0.001189,               0.001189
                     92,                 1.2278,                0.75139,                 1.0275,                0.57404,                0.31786,                0.36399,                  0.211,                 1.2147,                0.76089,                 1.0338,                0.00109,                0.00109,                0.00109
                     93,                 1.2251,                0.74884,                 1.0272,                0.57841,                 0.3179,                0.36487,                0.21077,                 1.2147,                0.75956,                 1.0336,               0.000991,               0.000991,               0.000991
                     94,                   1.22,                0.74188,                 1.0231,                0.57226,                0.32125,                0.36516,                0.21157,                 1.2148,                 0.7588,                 1.0335,               0.000892,               0.000892,               0.000892
                     95,                 1.2163,                0.74034,                 1.0238,                0.58451,                0.31589,                0.36624,                0.21185,                 1.2142,                0.75829,                  1.033,               0.000793,               0.000793,               0.000793
                     96,                  1.215,                0.73797,                 1.0234,                0.58969,                0.31425,                0.36672,                0.21203,                 1.2145,                0.75748,                 1.0329,               0.000694,               0.000694,               0.000694
                     97,                 1.2098,                0.73424,                 1.0202,                0.58506,                0.31744,                0.36723,                0.21212,                 1.2145,                0.75764,                 1.0324,               0.000595,               0.000595,               0.000595
                     98,                 1.2071,                0.72987,                 1.0191,                0.57724,                0.32159,                0.36797,                0.21225,                 1.2135,                  0.757,                 1.0319,               0.000496,               0.000496,               0.000496
                     99,                 1.2049,                0.72931,                 1.0159,                0.57802,                0.32039,                0.36749,                0.21271,                 1.2131,                0.75686,                 1.0316,               0.000397,               0.000397,               0.000397
                    100,                 1.2059,                0.72723,                 1.0153,                0.58029,                0.32014,                0.36798,                  0.213,                 1.2128,                0.75645,                 1.0316,               0.000298,               0.000298,               0.000298
